AS,Sample,perc_mapping,mCpG,mCHG,mCHH
0.6,16C_26psu_1_S13,47.30%,75.80%,1.00%,2.30%
0.6,16C_32psu_4_S4,49.30%,75.60%,0.90%,2.00%
0.6,8C_26psu_2_S10,50.70%,76.10%,0.90%,2.10%
0.6,8C_32psu_3_S7,48.50%,75.70%,0.90%,2.70%
0.6,CTRL_8C_26psu_1_S17,50.60%,76.20%,0.90%,1.80%
0.5,16C_26psu_1_S13,44.90%,76.20%,0.90%,1.90%
0.5,16C_32psu_4_S4,46.60%,76.00%,0.80%,1.70%
0.5,8C_26psu_2_S10,48.40%,76.50%,0.80%,1.80%
0.5,8C_32psu_3_S7,46.20%,76.10%,0.80%,2.20%
0.5,CTRL_8C_26psu_1_S17,48.40%,76.50%,0.80%,1.50%
0.4,16C_26psu_1_S13,42.20%,76.50%,0.80%,1.50%
0.4,16C_32psu_4_S4,43.80%,76.30%,0.80%,1.50%
0.4,8C_26psu_2_S10,46.00%,76.80%,0.80%,1.50%
0.4,8C_32psu_3_S7,43.80%,76.50%,0.70%,1.80%
0.4,CTRL_8C_26psu_1_S17,45.80%,76.90%,0.70%,1.20%
0.3,16C_26psu_1_S13,39.50%,76.80%,0.70%,1.20%
0.3,16C_32psu_4_S4,40.70%,76.60%,0.70%,1.20%
0.3,8C_26psu_2_S10,43.20%,77.30%,0.70%,1.30%
0.3,8C_32psu_3_S7,41.10%,76.90%,0.60%,1.50%
0.3,CTRL_8C_26psu_1_S17,43.10%,77.20%,0.70%,1.00%
0.2,16C_26psu_1_S13,36.10%,77.20%,0.60%,1.10%
0.2,16C_32psu_4_S4,36.70%,77.00%,0.70%,1.00%
0.2,8C_26psu_2_S10,39.80%,77.70%,0.60%,1.00%
0.2,8C_32psu_3_S7,37.90%,77.30%,0.60%,1.30%
0.2,CTRL_8C_26psu_1_S17,39.60%,77.70%,0.60%,0.90%
