perc_meth_cutoff,Sample,Context,1x,2x,5x,7x,10x,15x,20x
0,F1,mCHG,1498508,381605,85985,66311,53107,42179,35713
0,F2,mCHG,826059,170285,45674,35769,28410,22314,19024
0,F1,mCHH,9364003,3114596,1157150,985001,862244,759059,699972
0,F2,mCHH,6217948,2034885,876042,764029,681755,612766,573704
0,F1,mCpG,1661861,539020,221218,198193,183072,171074,164645
0,F2,mCpG,975065,300221,150070,135603,125028,116393,111621
0,F1,CHG,148809914,145495457,130887120,119280700,101364372,74152819,53635315
0,F2,CHG,99176923,95485206,81904483,72643483,59635230,41806480,29625889
0,F1,CHH,668645229,650606769,570115186,511378969,426571714,306617434,220479463
0,F2,CHH,411786097,391515649,323207564,281195926,226054166,155629159,109970238
0,F1,CpG,144022563,140783292,126141558,114567113,96836877,70124932,50214390
0,F2,CpG,96866873,93221853,79696020,70547556,57743275,40244285,28327793
25,F1,mCHG,288412,87672,29879,23056,17255,12807,10380
25,F1,mCHH,3399995,1591426,873727,780380,706068,640722,602467
25,F1,mCpG,322405,116845,56396,49555,44125,40147,38257
25,F2,mCHG,221968,53333,20425,16067,12340,9366,7953
25,F2,mCHH,3296786,1401752,749061,671468,612069,560956,531951
25,F2,mCpG,259619,85939,48231,42831,38692,35212,33663
50,F1,mCHG,133434,39474,18940,16161,13459,10940,9533
50,F1,mCHH,2195777,1163355,756837,696162,645792,598865,569868
50,F1,mCpG,133124,37634,17512,14840,12518,10651,9774
50,F2,mCHG,117931,27618,14034,12168,10279,8653,7616
50,F2,mCHH,2461315,1159855,683697,627193,582718,542218,517997
50,F2,mCpG,121150,29801,15224,13051,11227,9415,8519
75,F1,mCHG,62262,18137,11362,10285,9227,8068,7609
75,F1,mCHH,1308512,749250,553515,518435,488110,459628,441858
75,F1,mCpG,61690,16679,10396,9494,8712,8051,7828
75,F2,mCHG,61015,14006,8786,8068,7345,6711,6135
75,F2,mCHH,1634826,818681,538702,500939,470393,442331,424221
75,F2,mCpG,61212,14191,8988,8291,7808,7153,6790
95,F1,mCHG,50630,6563,1575,1098,846,617,498
95,F1,mCHH,881701,322630,167363,150540,138461,129586,125275
95,F1,mCpG,51645,6665,1875,1519,1249,1174,1140
95,F2,mCHG,56044,9088,5051,4716,4510,4387,4230
95,F2,mCHH,1339351,523333,289502,267710,253671,243418,237336
95,F2,mCpG,52186,5202,1195,969,819,698,645
