perc_meth_cutoff,Sample,Context,1x,2x,5x,7x,10x,15x,20x
0,F1,mCHG,1.007,0.262,0.066,0.056,0.052,0.057,0.067
0,F2,mCHG,0.833,0.178,0.056,0.049,0.048,0.053,0.064
0,F1,mCHH,1.400,0.479,0.203,0.193,0.202,0.248,0.317
0,F2,mCHH,1.510,0.520,0.271,0.272,0.302,0.394,0.522
0,F1,mCpG,1.154,0.383,0.175,0.173,0.189,0.244,0.328
0,F2,mCpG,1.007,0.322,0.188,0.192,0.217,0.289,0.394
25,F1,mCHG,0.194,0.060,0.023,0.019,0.017,0.017,0.019
25,F2,mCHG,0.224,0.056,0.025,0.022,0.021,0.022,0.027
25,F1,mCHH,0.508,0.245,0.153,0.153,0.166,0.209,0.273
25,F2,mCHH,0.801,0.358,0.232,0.239,0.271,0.360,0.484
25,F1,mCpG,0.224,0.083,0.045,0.043,0.046,0.057,0.076
25,F2,mCpG,0.268,0.092,0.061,0.061,0.067,0.087,0.119
50,F1,mCHG,0.090,0.027,0.014,0.014,0.013,0.015,0.018
50,F2,mCHG,0.119,0.029,0.017,0.017,0.017,0.021,0.026
50,F1,mCHH,0.328,0.179,0.133,0.136,0.151,0.195,0.258
50,F2,mCHH,0.598,0.296,0.212,0.223,0.258,0.348,0.471
50,F1,mCpG,0.092,0.027,0.014,0.013,0.013,0.015,0.019
50,F2,mCpG,0.125,0.032,0.019,0.018,0.019,0.023,0.030
75,F1,mCHG,0.042,0.012,0.009,0.009,0.009,0.011,0.014
75,F2,mCHG,0.062,0.015,0.011,0.011,0.012,0.016,0.021
75,F1,mCHH,0.196,0.115,0.097,0.101,0.114,0.150,0.200
75,F2,mCHH,0.397,0.209,0.167,0.178,0.208,0.284,0.386
75,F1,mCpG,0.043,0.012,0.008,0.008,0.009,0.011,0.016
75,F2,mCpG,0.063,0.015,0.011,0.012,0.014,0.018,0.024
95,F1,mCHG,0.034,0.005,0.001,0.001,0.001,0.001,0.001
95,F2,mCHG,0.057,0.010,0.006,0.006,0.008,0.010,0.014
95,F1,mCHH,0.132,0.050,0.029,0.029,0.032,0.042,0.057
95,F2,mCHH,0.325,0.134,0.090,0.095,0.112,0.156,0.216
95,F1,mCpG,0.036,0.005,0.001,0.001,0.001,0.002,0.002
95,F2,mCpG,0.054,0.006,0.001,0.001,0.001,0.002,0.002
