Sample	mCpG_5x0.75X	CpG_5x0.75X	perc_meth
allc_16C_26psu_1_S13	1404193	2198752	63.8632
allc_16C_26psu_2_S14	1255655	1866141	67.2862
allc_16C_26psu_3_S15	644751	986764	65.3399
allc_16C_26psu_4_S16	1208946	1783800	67.7736
allc_16C_32psu_1_S1	1536639	2286373	67.2086
allc_16C_32psu_2_S2	1250637	2035529	61.4404
allc_16C_32psu_3_S3	966887	1419347	68.122
allc_16C_32psu_4_S4	722280	1173330	61.5581
allc_8C_26psu_1_S9	1001724	1599452	62.6292
allc_8C_26psu_2_S10	1268923	2000422	63.4328
allc_8C_26psu_3_S11	1313220	2003744	65.5383
allc_8C_26psu_4_S12	419776	637975	65.7982
allc_8C_32psu_1_S5	1200877	1887506	63.6224
allc_8C_32psu_2_S6	843791	1357925	62.1383
allc_8C_32psu_3_S7	1113471	1695151	65.6857
allc_8C_32psu_4_S8	956411	1558048	61.3852
allc_CTRL_16C_26psu_1_S19	1734619	2473389	70.1313
allc_CTRL_16C_26psu_2_S21	1184590	1806879	65.56
allc_CTRL_8C_26psu_1_S17	820500	1251291	65.5723
allc_CTRL_8C_26psu_2_S18	1682853	2456192	68.5147
