Sample	mCpG_5x	CpG_5x	perc_meth
allc_16C_26psu_1_S13	3514337	5315527	66.1146
allc_16C_26psu_2_S14	2723211	3976210	68.4876
allc_16C_26psu_3_S15	2121319	2994123	70.8494
allc_16C_26psu_4_S16	2366785	3398704	69.6379
allc_16C_32psu_1_S1	3747956	5429753	69.0263
allc_16C_32psu_2_S2	2796276	4259343	65.6504
allc_16C_32psu_3_S3	1602362	2321654	69.0181
allc_16C_32psu_4_S4	1784525	2720771	65.5889
allc_8C_26psu_1_S9	2051667	3068137	66.8701
allc_8C_26psu_2_S10	3218985	4824974	66.7151
allc_8C_26psu_3_S11	3062193	4461473	68.6364
allc_8C_26psu_4_S12	2300120	3292116	69.8675
allc_8C_32psu_1_S5	2472547	3689687	67.0124
allc_8C_32psu_2_S6	1402648	2165416	64.775
allc_8C_32psu_3_S7	2081213	3077204	67.6332
allc_8C_32psu_4_S8	2001453	3179523	62.9482
allc_CTRL_16C_26psu_1_S19	3663355	5231156	70.0295
allc_CTRL_16C_26psu_2_S21	2091581	3034814	68.9196
allc_CTRL_8C_26psu_1_S17	1873086	2737265	68.4291
allc_CTRL_8C_26psu_2_S18	3480306	4984773	69.8187
