Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3SXU1	A0A1S3SXU1_SALSA	neurofilament light polypeptide-like	GO:0005882	intermediate filament [GO:0005882]	LOC106612287
A0A1S3RBF2	A0A1S3RBF2_SALSA	protein salvador homolog 1 isoform X2	GO:0007165	signal transduction [GO:0007165]	sav1
A0A1S3RCM4	A0A1S3RCM4_SALSA	protein salvador homolog 1 isoform X1	GO:0007165	signal transduction [GO:0007165]	sav1
A0A1S3SR77	A0A1S3SR77_SALSA	WD repeat-containing protein 20-like			LOC106611292
A0A1S3SSP9	A0A1S3SSP9_SALSA	uncharacterized protein LOC106611540 isoform X1			LOC106611540
A0A1S3SSU1	A0A1S3SSU1_SALSA	uncharacterized protein LOC106611540 isoform X2			LOC106611540
A0A1S3T1E6	A0A1S3T1E6_SALSA	grainyhead-like protein 3 homolog isoform X1	GO:0003700; GO:0006357	DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	LOC106613035
A0A1S3T1M5	A0A1S3T1M5_SALSA	grainyhead-like protein 3 homolog isoform X2	GO:0003700; GO:0006357	DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	LOC106613035
A0A1S3KWJ8	A0A1S3KWJ8_SALSA	Cell cycle control protein	GO:0016021	integral component of membrane [GO:0016021]	LOC106562615
A0A1S3MC69	A0A1S3MC69_SALSA	collagen alpha-1(I) chain-like	GO:0005581	collagen trimer [GO:0005581]	LOC106571800
A0A1S3MBP3	A0A1S3MBP3_SALSA	gastrula zinc finger protein XlCGF57.1-like isoform X1	GO:0003676	nucleic acid binding [GO:0003676]	LOC106571704
A0A1S3MBV7	A0A1S3MBV7_SALSA	uncharacterized protein LOC106571704 isoform X2			LOC106571704
A0A1S3MBC2	A0A1S3MBC2_SALSA	HEAT repeat-containing protein 4			heatr4
A0A1S3P7D0	A0A1S3P7D0_SALSA	uncharacterized protein LOC106583609			LOC106583609
A0A1S3NVR0	A0A1S3NVR0_SALSA	uncharacterized protein LOC106581715 isoform X1			LOC106581715
A0A1S3NVZ3	A0A1S3NVZ3_SALSA	glycine-rich cell wall structural protein-like isoform X2			LOC106581715
A0A1S3QSZ9	A0A1S3QSZ9_SALSA	protein Z-dependent protease inhibitor-like isoform X2	GO:0005615	extracellular space [GO:0005615]	LOC106596263
A0A1S3QUH2	A0A1S3QUH2_SALSA	protein Z-dependent protease inhibitor-like isoform X1	GO:0005615	extracellular space [GO:0005615]	LOC106596263
A0A1S3QYZ8	A0A1S3QYZ8_SALSA	protein RD3-like			rd3l
A0A1S3QZW4	A0A1S3QZW4_SALSA	putative ATP-dependent RNA helicase TDRD9	GO:0003676; GO:0004386; GO:0005524	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	LOC106598466
A0A1S3QYR0	A0A1S3QYR0_SALSA	Reticulon	GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	LOC106598511
A0A1S3QZL9	A0A1S3QZL9_SALSA	Reticulon	GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	LOC106598511
A0A1S3R055	A0A1S3R055_SALSA	Reticulon	GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	LOC106598511
A0A1S3PMA8	A0A1S3PMA8_SALSA	nesprin-2-like	GO:0003779	actin binding [GO:0003779]	LOC106586232
A0A1S3QZV9	A0A1S3QZV9_SALSA	nesprin-2-like isoform X1	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R027	A0A1S3R027_SALSA	nesprin-2-like isoform X6	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R049	A0A1S3R049_SALSA	nesprin-2-like isoform X8	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R060	A0A1S3R060_SALSA	nesprin-2-like isoform X9	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R0J9	A0A1S3R0J9_SALSA	nesprin-2-like isoform X3	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
