Chr1	ssa01	NC_027300.1
Chr2	ssa02	NC_027301.1
Chr3	ssa03	NC_027302.1
Chr4	ssa04	NC_027303.1
Chr5	ssa05	NC_027304.1
Chr6	ssa06	NC_027305.1
Chr7	ssa07	NC_027306.1
Chr8	ssa08	NC_027307.1
Chr9	ssa09	NC_027308.1
Chr10	ssa10	NC_027309.1
Chr11	ssa11	NC_027310.1
Chr12	ssa12	NC_027311.1
Chr13	ssa13	NC_027312.1
Chr14	ssa14	NC_027313.1
Chr15	ssa15	NC_027314.1
Chr16	ssa16	NC_027315.1
Chr17	ssa17	NC_027316.1
Chr18	ssa18	NC_027317.1
Chr19	ssa19	NC_027318.1
Chr20	ssa20	NC_027319.1
Chr21	ssa21	NC_027320.1
Chr22	ssa22	NC_027321.1
Chr23	ssa23	NC_027322.1
Chr24	ssa24	NC_027323.1
Chr25	ssa25	NC_027324.1
Chr26	ssa26	NC_027325.1
Chr27	ssa27	NC_027326.1
Chr28	ssa28	NC_027327.1
Chr29	ssa29	NC_027328.1
