Chromosome,mode_1_uniq_loci,mode_2_uniq_loci,common_loci,mode_1,mode_2
NC_001960.1,0,5.75,526.25,PE,SE_global
NC_027300.1,395.75,38958,14105,PE,SE_global
NC_027301.1,166,16933.5,6397.25,PE,SE_global
NC_027302.1,227,21426.75,7763.75,PE,SE_global
NC_027303.1,174,20502.75,7321.25,PE,SE_global
NC_027304.1,205.5,18122.75,6659.5,PE,SE_global
NC_027305.1,241,18920.75,7085.25,PE,SE_global
NC_027306.1,136.75,13927.5,5176,PE,SE_global
NC_027307.1,102,6410.25,2677.5,PE,SE_global
NC_027308.1,434.75,33460.25,12202.75,PE,SE_global
NC_027309.1,333.75,28763,10152.75,PE,SE_global
NC_027310.1,273.75,21490.25,7946.5,PE,SE_global
NC_027311.1,233,22194,8295,PE,SE_global
NC_027312.1,254.5,26356.25,9261.25,PE,SE_global
NC_027313.1,262,23132.25,8638.25,PE,SE_global
NC_027314.1,341.5,24382.75,8973.75,PE,SE_global
NC_027315.1,250,20888.5,8056.25,PE,SE_global
NC_027316.1,211,12577.25,5170,PE,SE_global
NC_027317.1,184.5,17275.25,6459.75,PE,SE_global
NC_027318.1,200.75,19506.75,7029.25,PE,SE_global
NC_027319.1,197.5,20508.75,7100.5,PE,SE_global
NC_027320.1,127.75,13414.75,4787,PE,SE_global
NC_027321.1,152,15189.5,5445.5,PE,SE_global
NC_027322.1,90,12406.5,4507,PE,SE_global
NC_027323.1,78.25,10873.75,3485.75,PE,SE_global
NC_027324.1,109.5,11903,4317.5,PE,SE_global
NC_027325.1,121,9822,3427.75,PE,SE_global
NC_027326.1,104.75,10726.25,3850.5,PE,SE_global
NC_027327.1,81.5,9457.5,3549,PE,SE_global
NC_027328.1,87.5,9426.75,3192.25,PE,SE_global
NC_001960.1,0.25,6.75,526,PE,SE_local
NC_027300.1,495.5,55164,14005.25,PE,SE_local
NC_027301.1,205.5,23855.5,6357.75,PE,SE_local
NC_027302.1,238,30372.75,7752.75,PE,SE_local
NC_027303.1,218.75,28918.5,7276.5,PE,SE_local
NC_027304.1,257,25646,6608,PE,SE_local
NC_027305.1,263,26860.5,7063.25,PE,SE_local
NC_027306.1,164.5,19870,5148.25,PE,SE_local
NC_027307.1,142.25,9034,2637.25,PE,SE_local
NC_027308.1,481.25,47706,12156.25,PE,SE_local
NC_027309.1,365.25,40612.75,10121.25,PE,SE_local
NC_027310.1,319,30845.75,7901.25,PE,SE_local
NC_027311.1,302.5,31187,8225.5,PE,SE_local
NC_027312.1,303,37412,9212.75,PE,SE_local
NC_027313.1,306,32585.75,8594.25,PE,SE_local
NC_027314.1,356.25,34487,8959,PE,SE_local
NC_027315.1,257.25,29474.75,8049,PE,SE_local
NC_027316.1,250,17791.5,5131,PE,SE_local
NC_027317.1,230.25,24444,6414,PE,SE_local
NC_027318.1,254.75,27688.5,6975.25,PE,SE_local
NC_027319.1,236,28914,7062,PE,SE_local
NC_027320.1,142.25,19056.75,4772.5,PE,SE_local
NC_027321.1,174.5,21514.75,5423,PE,SE_local
NC_027322.1,129,17600.75,4468,PE,SE_local
NC_027323.1,85.75,15307,3478.25,PE,SE_local
NC_027324.1,144,16796,4283,PE,SE_local
NC_027325.1,127,13867.25,3421.75,PE,SE_local
NC_027326.1,128.75,15223.25,3826.5,PE,SE_local
NC_027327.1,122.75,13245.75,3507.75,PE,SE_local
NC_027328.1,108.5,13355.75,3171.25,PE,SE_local
NC_001960.1,0.5,1.25,531.5,SE_global,SE_local
NC_027300.1,2918.75,19025,50144.25,SE_global,SE_local
NC_027301.1,1303.25,8185.75,22027.5,SE_global,SE_local
NC_027302.1,1568.5,10503.5,27622,SE_global,SE_local
NC_027303.1,1564.25,9935.25,26259.75,SE_global,SE_local
NC_027304.1,1359.75,8831.5,23422.5,SE_global,SE_local
NC_027305.1,1435.5,9353.25,24570.5,SE_global,SE_local
NC_027306.1,987.5,6902.25,18116,SE_global,SE_local
NC_027307.1,506,3089.5,8581.75,SE_global,SE_local
NC_027308.1,2544.25,16743.5,43118.75,SE_global,SE_local
NC_027309.1,2211,14029.25,36704.75,SE_global,SE_local
NC_027310.1,1623.5,10933.75,27813.25,SE_global,SE_local
NC_027311.1,1711.25,10634.75,28777.75,SE_global,SE_local
NC_027312.1,1942.25,12949.5,33675.25,SE_global,SE_local
NC_027313.1,1758.25,11167.75,30012.25,SE_global,SE_local
NC_027314.1,1857.75,11947.25,31498.75,SE_global,SE_local
NC_027315.1,1576.5,10155.5,27368.25,SE_global,SE_local
NC_027316.1,960.25,6135.5,16787,SE_global,SE_local
NC_027317.1,1270.75,8393.75,22464.25,SE_global,SE_local
NC_027318.1,1457.25,9585,25078.75,SE_global,SE_local
NC_027319.1,1575,9941.75,26034.25,SE_global,SE_local
NC_027320.1,1019,6646.5,17182.75,SE_global,SE_local
NC_027321.1,1118.75,7421.5,19516.25,SE_global,SE_local
NC_027322.1,917.75,6073,15995.75,SE_global,SE_local
NC_027323.1,757,5182.75,13602.5,SE_global,SE_local
NC_027324.1,910.25,5768.75,15310.25,SE_global,SE_local
NC_027325.1,748.5,4787.75,12501.25,SE_global,SE_local
NC_027326.1,868.75,5341.75,13708,SE_global,SE_local
NC_027327.1,761.25,4508.25,12245.25,SE_global,SE_local
NC_027328.1,700.75,4608.75,11918.25,SE_global,SE_local
