chr	start	end
NC_001960.1	16227	16274
NC_001960.1	3594	3771
NC_001960.1	3893	3937
NC_001960.1	6640	6848
NC_001960.1	8663	8768
NC_027300.1	101870325	101870352
NC_027300.1	10343919	10343938
NC_027300.1	108719095	108719119
NC_027300.1	150570743	150570814
NC_027300.1	15122262	15122271
NC_027300.1	157102593	157102628
NC_027300.1	32662967	32663253
NC_027300.1	40642530	40642598
NC_027300.1	41463726	41463858
NC_027300.1	53523100	53523250
NC_027300.1	65107271	65107455
NC_027300.1	69211159	69211369
NC_027300.1	95151380	95151407
NC_027301.1	1529495	1529563
NC_027301.1	21218	21371
NC_027301.1	26342332	26342480
NC_027301.1	28080633	28080661
NC_027301.1	32623148	32623201
NC_027301.1	38125340	38125394
NC_027301.1	41382334	41382357
NC_027301.1	43069196	43069299
NC_027301.1	45282713	45282740
NC_027301.1	51687467	51687489
NC_027301.1	53270967	53270987
NC_027301.1	57059575	57059593
NC_027301.1	68457293	68457340
NC_027302.1	14373444	14373774
NC_027302.1	24590613	24590623
NC_027302.1	31132851	31132902
NC_027302.1	35721103	35721152
NC_027302.1	84907806	84907858
NC_027303.1	11479344	11479484
NC_027303.1	11810571	11810605
NC_027303.1	15729211	15729690
NC_027303.1	39435743	39435930
NC_027303.1	48004624	48004679
NC_027303.1	52385220	52385252
NC_027303.1	56548267	56548304
NC_027303.1	59186660	59186680
NC_027303.1	67325150	67325166
NC_027303.1	70006326	70006336
NC_027303.1	77971685	77971930
NC_027303.1	81936026	81936066
NC_027303.1	9488097	9488130
NC_027304.1	15750	15873
NC_027304.1	27345449	27345576
NC_027304.1	29426754	29426798
NC_027304.1	32088433	32088627
NC_027304.1	34179921	34179936
NC_027304.1	35682502	35682817
NC_027304.1	46554448	46554482
NC_027304.1	51938457	51938472
NC_027304.1	67438006	67438102
NC_027305.1	11782206	11782247
NC_027305.1	32919291	32919314
NC_027305.1	40725945	40726014
NC_027305.1	60265985	60266170
NC_027305.1	63788560	63788746
NC_027305.1	6966670	6966859
NC_027306.1	10198345	10198386
NC_027306.1	16465909	16465964
NC_027306.1	19436381	19436399
NC_027306.1	24768317	24768381
NC_027306.1	46260663	46260759
NC_027307.1	21236885	21236906
NC_027307.1	381974	382078
NC_027308.1	106006168	106006225
NC_027308.1	113773825	113773906
NC_027308.1	11856228	11856255
NC_027308.1	141223386	141223407
NC_027308.1	16327571	16327608
NC_027308.1	45082673	45082697
NC_027308.1	51012870	51012891
NC_027308.1	55679097	55679109
NC_027308.1	63339374	63339398
NC_027308.1	69230527	69230601
NC_027308.1	91421782	91421826
NC_027309.1	10247176	10247229
NC_027309.1	103123148	103123254
NC_027309.1	11917541	11917574
NC_027309.1	21816761	21816792
NC_027309.1	24479586	24479622
NC_027309.1	38422329	38422351
NC_027309.1	63587982	63587995
NC_027309.1	65960468	65960497
NC_027309.1	67690673	67690697
NC_027309.1	94734944	94734961
NC_027310.1	12922194	12922218
NC_027310.1	1636575	1636595
NC_027310.1	17294421	17294710
NC_027310.1	25968929	25968984
NC_027310.1	4271955	4272023
NC_027310.1	42971535	42971652
NC_027310.1	55323342	55323395
NC_027310.1	59726753	59726768
NC_027310.1	64241241	64241275
NC_027310.1	91819579	91819615
NC_027310.1	9363306	9363377
NC_027311.1	20404097	20404104
NC_027311.1	2622774	2622789
NC_027311.1	36842770	36842797
NC_027311.1	42566167	42566263
NC_027311.1	54190267	54190458
NC_027311.1	59322174	59322198
NC_027311.1	60955374	60955461
NC_027311.1	6723209	6723215
NC_027312.1	10010731	10010809
NC_027312.1	101051567	101051738
NC_027312.1	31755075	31755222
NC_027312.1	34714414	34714434
NC_027312.1	54869335	54869374
NC_027312.1	55853914	55854011
NC_027312.1	61399090	61399106
NC_027312.1	82133061	82133149
NC_027312.1	82960873	82960955
NC_027313.1	13367226	13367242
NC_027313.1	21958995	21959073
NC_027313.1	27547923	27547948
NC_027313.1	35261116	35261270
NC_027313.1	40838856	40838886
NC_027313.1	49775734	49775779
NC_027313.1	62241020	62241056
NC_027313.1	70032366	70032597
NC_027313.1	71068970	71068989
NC_027313.1	92373898	92373986
NC_027314.1	28357	28382
NC_027314.1	49297505	49297533
NC_027314.1	59735910	59735943
NC_027314.1	67525286	67525316
NC_027314.1	70943456	70943593
NC_027314.1	83980860	83980915
NC_027314.1	88480451	88480471
NC_027314.1	88512043	88512220
NC_027315.1	15696481	15696528
NC_027315.1	66651687	66651719
NC_027315.1	75942846	75942884
NC_027315.1	83225926	83226008
NC_027315.1	85727905	85728204
NC_027316.1	53446169	53446255
NC_027316.1	55579083	55579102
NC_027317.1	10037398	10037453
NC_027317.1	13575911	13575951
NC_027317.1	3175480	3175503
NC_027317.1	53593434	53593454
NC_027317.1	66976333	66976350
NC_027317.1	70412879	70412915
NC_027317.1	9786340	9786358
NC_027318.1	1990276	1990341
NC_027318.1	46541620	46541659
NC_027318.1	75657953	75658056
NC_027318.1	77352182	77352287
NC_027319.1	24904606	24904755
NC_027319.1	47347976	47348006
NC_027319.1	56050589	56050613
NC_027319.1	63318769	63318878
NC_027319.1	86000880	86000892
NC_027319.1	9715083	9715093
NC_027320.1	13637138	13637201
NC_027320.1	24883602	24883638
NC_027320.1	26836079	26836100
NC_027320.1	29936171	29936195
NC_027320.1	35826381	35826454
NC_027320.1	51178179	51178241
NC_027320.1	51731525	51731531
NC_027320.1	5903096	5903288
NC_027321.1	10846735	10846741
NC_027321.1	31496514	31496598
NC_027321.1	38435348	38435351
NC_027322.1	21189935	21189945
NC_027322.1	324517	324548
NC_027323.1	12266089	12266162
NC_027323.1	25170289	25170334
NC_027323.1	46997279	46997355
NC_027323.1	906351	906730
NC_027324.1	14898405	14898499
NC_027324.1	31190194	31190385
NC_027324.1	31195003	31195212
NC_027325.1	27461621	27461648
NC_027326.1	12081019	12081108
NC_027326.1	27678791	27678816
NC_027327.1	1008365	1008389
NC_027327.1	20888268	20888343
NC_027327.1	37439070	37439079
NC_027328.1	1777880	1778092
