yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_004938		B4DHI4	B4DHI4_HUMAN	cDNA FLJ60536, highly similar to Death-associated protein kinase 1	GO:0004674; GO:0005524; GO:0006915; GO:0007165	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; apoptotic process [GO:0006915]; signal transduction [GO:0007165]	
NM_004938	NM_004938 -> P53355-1	P53355	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	GO:0004672; GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005525; GO:0005634; GO:0005737; GO:0005886; GO:0006468; GO:0006915; GO:0008625; GO:0010506; GO:0010508; GO:0015629; GO:0017075; GO:0017148; GO:0035556; GO:0042802; GO:0042981; GO:0043066; GO:0043280; GO:0046777; GO:0071346; GO:0071447; GO:0097190; GO:2000310	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; syntaxin-1 binding [GO:0017075]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cellular response to hydroperoxide [GO:0071447]; cellular response to interferon-gamma [GO:0071346]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of translation [GO:0017148]; positive regulation of autophagy [GO:0010508]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of NMDA receptor activity [GO:2000310]	DAPK1 DAPK
NM_018685		A0A024RA49	A0A024RA49_HUMAN	Anillin, actin binding protein (Scraps homolog, Drosophila), isoform CRA_e	GO:0002244; GO:0005654; GO:0030496	midbody [GO:0030496]; nucleoplasm [GO:0005654]; hematopoietic progenitor cell differentiation [GO:0002244]	ANLN hCG_17719
NM_018685	NM_018685 -> Q9NQW6-1	Q9NQW6	ANLN_HUMAN	Anillin	GO:0000281; GO:0000915; GO:0000921; GO:0002244; GO:0003779; GO:0005654; GO:0005826; GO:0007096; GO:0015629; GO:0017049; GO:0030496; GO:0030865; GO:0031106; GO:0032059; GO:0045296; GO:0090521; GO:0099738; GO:1904172; GO:1904498	actin cytoskeleton [GO:0015629]; actomyosin contractile ring [GO:0005826]; bleb [GO:0032059]; cell cortex region [GO:0099738]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; GTP-Rho binding [GO:0017049]; actomyosin contractile ring assembly [GO:0000915]; cortical cytoskeleton organization [GO:0030865]; glomerular visceral epithelial cell migration [GO:0090521]; hematopoietic progenitor cell differentiation [GO:0002244]; mitotic cytokinesis [GO:0000281]; positive regulation of bleb assembly [GO:1904172]; protein localization to mitotic actomyosin contractile ring [GO:1904498]; regulation of exit from mitosis [GO:0007096]; septin ring assembly [GO:0000921]; septin ring organization [GO:0031106]	ANLN
NM_032043	NM_032043 -> Q9BX63-1	Q9BX63	FANCJ_HUMAN	Fanconi anemia group J protein (Protein FACJ) (EC 3.6.4.13) (ATP-dependent RNA helicase BRIP1) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1)	GO:0000077; GO:0003677; GO:0003678; GO:0003682; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0006260; GO:0006289; GO:0006302; GO:0006357; GO:0007284; GO:0007286; GO:0008285; GO:0009636; GO:0010629; GO:0010705; GO:0031965; GO:0046872; GO:0051026; GO:0051539; GO:0071295; GO:0071456; GO:0072520; GO:1901796; GO:1904385; GO:1990918	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; metal ion binding [GO:0046872]; RNA helicase activity [GO:0003724]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to vitamin [GO:0071295]; chiasma assembly [GO:0051026]; DNA damage checkpoint [GO:0000077]; DNA replication [GO:0006260]; double-strand break repair [GO:0006302]; double-strand break repair involved in meiotic recombination [GO:1990918]; meiotic DNA double-strand break processing involved in reciprocal meiotic recombination [GO:0010705]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; nucleotide-excision repair [GO:0006289]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription by RNA polymerase II [GO:0006357]; response to toxic substance [GO:0009636]; seminiferous tubule development [GO:0072520]; spermatid development [GO:0007286]; spermatogonial cell division [GO:0007284]	BRIP1 BACH1 FANCJ
NM_015123		B3KNA2	B3KNA2_HUMAN	cDNA FLJ14024 fis, clone HEMBA1003646, highly similar to FERM domain-containing protein 4B			
NM_015123		Q6PEW6	Q6PEW6_HUMAN	FRMD4B protein (Fragment)	GO:0005856	cytoskeleton [GO:0005856]	FRMD4B
NM_015123	NM_015123 -> Q9Y2L6-1	Q9Y2L6	FRM4B_HUMAN	FERM domain-containing protein 4B (GRP1-binding protein GRSP1)	GO:0001726; GO:0005615; GO:0005737; GO:0005856; GO:0005912; GO:0005923; GO:0090162	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular space [GO:0005615]; ruffle [GO:0001726]; establishment of epithelial cell polarity [GO:0090162]	FRMD4B GRSP1 KIAA1013
NM_005711	NM_005711 -> O43854-1	O43854	EDIL3_HUMAN	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	GO:0005178; GO:0005509; GO:0007155; GO:0007275; GO:0010811; GO:0062023; GO:0070062; GO:1903561	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; calcium ion binding [GO:0005509]; integrin binding [GO:0005178]; cell adhesion [GO:0007155]; multicellular organism development [GO:0007275]; positive regulation of cell-substrate adhesion [GO:0010811]	EDIL3 DEL1
NM_001211		O60566	BUB1B_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	GO:0000278; GO:0000776; GO:0000777; GO:0000778; GO:0000940; GO:0004672; GO:0004674; GO:0005524; GO:0005680; GO:0005737; GO:0005815; GO:0005819; GO:0005829; GO:0006511; GO:0006915; GO:0007093; GO:0007094; GO:0031145; GO:0048471; GO:0051301; GO:0051754; GO:1901990	anaphase-promoting complex [GO:0005680]; condensed chromosome kinetochore [GO:0000777]; condensed chromosome outer kinetochore [GO:0000940]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; apoptotic process [GO:0006915]; cell division [GO:0051301]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic cell cycle [GO:0000278]; mitotic cell cycle checkpoint [GO:0007093]; mitotic spindle assembly checkpoint [GO:0007094]; regulation of mitotic cell cycle phase transition [GO:1901990]; ubiquitin-dependent protein catabolic process [GO:0006511]	BUB1B BUBR1 MAD3L SSK1
