chr	start	end
NC_027303.1	11479344	11479484
NC_027303.1	56548267	56548304
NC_027304.1	15750	15873
NC_027304.1	35682502	35682817
NC_027304.1	46554448	46554482
NC_027305.1	63788560	63788746
NC_027306.1	16465909	16465964
NC_027308.1	113773825	113773906
NC_027308.1	51012870	51012891
NC_027308.1	69230527	69230601
NC_027308.1	91421782	91421826
NC_027309.1	24479586	24479622
NC_027309.1	67690673	67690697
NC_027310.1	1636575	1636595
NC_027311.1	54190267	54190458
NC_027311.1	59322174	59322198
NC_027312.1	101051567	101051738
NC_027313.1	40838856	40838886
NC_027313.1	70032366	70032597
NC_027315.1	85727905	85728204
NC_027317.1	66976333	66976350
NC_027320.1	13637138	13637201
NC_027320.1	5903096	5903288
NC_027323.1	12266089	12266162
