NC_ID	Chr_ID	SSa_ID	Start	End	Effect	Estimate	Conf.low	Conf.high	Adj.p.value	GeneID	Feature	Protein	NearestGeneID	NearestStart	Distance	NearestProtein	Notes
NC_001960.1	ChrMT	ssaMT	16227	16274	salinity	0.032288395	0.007147679	0.05742911	0.015057723	808306	CDS	cytochrome b	NA	NA	NA	NA	no exons because MT
NC_027300.1	Chr1	ssa01	15122262	15122271	salinity	0.323306794	0.04519652	0.601417067	0.025427796	NA	NA	NA	106569385	15122729	15122728.97	uncharacterized protein	last exon not start; maps to Pol polyprotein from transposon 297 and has GO term aspartic peptidase
NC_027300.1	Chr1	ssa01	95151380	95151407	salinity	-0.240247869	-0.480012384	-0.000483354	0.049599112	106612143	intron	syntaxin-binding protein 4-like	NA	NA	NA	NA	NA
NC_027300.1	Chr1	ssa01	157102593	157102628	salinity	0.418373138	0.169042744	0.667703532	0.003080607	106572610	intron	agglutinin-like protein 10 (promotes cell aggregation)	NA	NA	NA	NA	NA
NC_027301.1	Chr2	ssa02	32623148	32623201	salinity	-0.334109429	-0.519597967	-0.148620891	0.002018397	106583613	exon	plectin-like	NA	NA	NA	NA	NA
NC_027301.1	Chr2	ssa02	38125340	38125394	salinity	-0.275592299	-0.472857083	-0.078327516	0.009619667	NA	NA	NA	106584744	38126976	-38126976.08	ankyrin repeat and KH domain-containing protein 1-like	last exon not start; also 8775 bp upstream 106584839 serum response factor-like protein
NC_027301.1	Chr2	ssa02	51687467	51687489	salinity	0.228042744	0.035310224	0.420775264	0.024187133	NA	NA	NA	106588738	51673882	-13585	ladybird homeobox 1 (organ development, cell fate commitment, negative reg of cell proliferation)	NA
NC_027302.1	Chr3	ssa03	14373444	14373774	salinity	-0.132040912	-0.220042594	-0.04403923	0.00580751	NA	NA	NA	106599054	14372944	-14372944.04	coatomer subunit beta'-like	last exon not start
NC_027303.1	Chr4	ssa04	11479344	11479484	salinity	0.578963233	0.284680015	0.873246451	0.001056751	NA	NA	NA	106602381	11442439	-11442438.13	glycine receptor subunit alpha-3-like	temperature DEG
NC_027303.1	Chr4	ssa04	52385220	52385252	salinity	0.171054261	0.015641588	0.326466935	0.033136681	106603493	exon	lncRNA uncharacterized	NA	NA	NA	NA	upstream (~28kb) FAM114A2 like (GO: purine nucleotide binding); 118kb downstream Npolypeptide-acetylgalactosamino transferase
NC_027303.1	Chr4	ssa04	81936026	81936066	salinity	-0.482411801	-0.694425734	-0.270397867	0.000282129	NA	NA	NA	106604059	81894798	-81894798.27	short transient receptor potential channel 6-like	last exon not start
NC_027304.1	Chr5	ssa05	27345449	27345576	salinity	0.265500698	0.113570392	0.417431005	0.002033406	106604568	intron	alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	NA	NA	NA	NA	NA
NC_027304.1	Chr5	ssa05	34179921	34179936	salinity	0.286968935	0.149321108	0.424616763	0.000592991	106604753	intron	dystrophin-related protein 2-like	NA	NA	NA	NA	NA
NC_027308.1	Chr9	ssa09	11856228	11856255	salinity	-0.29708342	-0.457826271	-0.136340569	0.001858241	NA	NA	NA	106610717	11846875	-11846875.14	left-right determination factor 2-like	last exon not start
