chr start end Salinity_32.26 Temp_8.16 Temp.Salinity_16.32.16.26 Temp.Salinity_16.32.8.26 Temp.Salinity_8.26.16.26 Temp.Salinity_8.32.16.26 Temp.Salinity_8.32.16.32 Temp.Salinity_8.32.8.26
NC_027300.1 10234417 10234626 0.0126966088002688 NA NA 0.0230371161765074 NA NA NA NA
NC_027300.1 128038324 128038335 0.00784007242822848 NA 0.0351278074295305 NA NA NA NA NA
NC_027300.1 28472070 28472130 0.00774687850323519 NA 0.0366444909825869 NA NA NA NA NA
NC_027300.1 44881038 44881064 0.00505498045213204 NA 0.0374346171360795 0.0495167287056191 NA NA NA NA
NC_027300.1 93503034 93503058 0.00172430135996149 NA 0.015953023395888 NA NA 0.00835563457881805 NA NA
NC_027300.1 94631589 94631672 NA 0.00920960861654474 NA NA NA 0.0321258094642197 NA NA
NC_027302.1 14373443 14373773 0.0443877543133617 NA NA NA NA NA NA NA
NC_027302.1 57141393 57141415 NA 0.0204389901938279 NA 0.0269944673757804 NA NA NA NA
NC_027302.1 74632956 74632979 0.000337873368142172 NA NA 0.036788789342877 NA 0.0129142175282683 NA 0.00203211957213945
NC_027303.1 12923057 12923077 0.00762828722586328 NA 0.00855834395290545 0.0211058292163614 NA NA NA NA
NC_027304.1 19183883 19183901 NA NA 0.0449433516833436 NA NA NA 0.0186093470977847 NA
NC_027304.1 29426753 29426797 NA 0.0170419624151338 NA NA NA NA 0.0436838332848525 NA
NC_027304.1 35725818 35725878 0.0373074945573414 NA NA 0.0398683469341727 NA NA NA NA
NC_027304.1 48224553 48224577 0.0397693162360724 0.025025339052976 0.0399477254711663 0.0341714313930133 NA NA 0.0239827822758989 NA
NC_027304.1 73044925 73045324 0.00261040540940916 NA NA 0.0264115173208984 NA NA NA 0.0108634648916733
NC_027305.1 1463039 1463383 0.00510282421789598 0.00388130578016133 NA NA NA 0.00168278885948092 0.00142699131684443 0.00169555193070103
NC_027307.1 20648603 20648625 NA NA 0.0454502809292625 NA NA NA NA NA
NC_027308.1 11856227 11856254 0.00187756031860964 NA 0.0294006628257144 NA NA 0.0370542656519457 NA NA
NC_027308.1 63339374 63339398 NA NA NA NA NA NA NA 0.0248322348100306
NC_027308.1 67939052 67939075 NA 0.0144469232924902 NA NA NA NA 0.0387812658357587 NA
NC_027308.1 96183798 96183831 0.00163333701627522 NA NA 0.00821435902175371 NA NA NA 0.00756648518097125
NC_027309.1 98857590 98857612 0.0307311419458011 NA 0.0254487994971716 NA NA NA NA NA
NC_027310.1 16489137 16489154 NA NA 0.0420949638392277 NA NA NA 0.0281725946413147 NA
NC_027310.1 18708705 18708836 0.000778157864568585 NA 0.00772950671009576 NA NA 0.0108536752546663 NA NA
NC_027310.1 25968940 25968983 0.0497761784822426 0.0335174278456597 NA NA NA 0.0321304996724584 NA NA
NC_027310.1 44199112 44199129 NA 0.028486088055684 NA NA 0.0170366751096048 NA NA NA
NC_027310.1 49643898 49643920 0.00660915025056152 NA 0.00884459197044007 NA NA NA NA NA
NC_027310.1 58009055 58009070 NA NA NA NA NA NA 0.0447570569792083 NA
NC_027310.1 73823882 73823896 0.0220139670988133 NA NA NA NA NA NA 0.0250340484908336
NC_027310.1 74567378 74567402 NA NA NA NA NA NA NA 0.0401760308545945
NC_027310.1 9363305 9363376 NA 0.00438822571243247 NA NA NA NA NA NA
NC_027311.1 20670243 20670274 0.0254097781725945 0.0172812287219041 NA 0.0146674620663269 0.0202972468444088 NA NA 0.0298606287071708
NC_027311.1 21543117 21543159 0.0190592334414714 0.0294955258086442 NA 0.0153676093204228 NA NA NA NA
NC_027311.1 30708517 30708724 0.0264852514839476 NA 0.022214211749416 NA NA NA NA NA
NC_027311.1 30818546 30818594 NA 0.0262397800354858 NA NA 0.0385439407057497 NA NA NA
NC_027311.1 33864329 33864341 NA NA NA NA NA NA 0.0157809950164952 NA
NC_027311.1 47343596 47343885 0.0267409151946288 0.00598848903232607 0.0118777215324656 NA 0.00442257050323502 0.00648717096846896 NA NA
NC_027311.1 49206129 49206151 NA 0.0312851954514437 NA NA NA NA 0.0205893023799977 NA
NC_027311.1 54221470 54221484 0.000218750847895355 NA 0.0348521298575603 0.0232546812234982 NA 0.00347211130043601 NA 0.00246311229377649
NC_027311.1 57644429 57644437 NA NA 0.0356999456322492 NA 0.0241067806382421 NA NA NA
NC_027311.1 59944280 59944296 NA NA 0.0208647865250957 NA 0.000793524757053854 NA NA 0.00270841720466486
NC_027311.1 7770437 7770464 NA 0.00251379205001112 NA NA 0.00690340123903432 NA NA NA
NC_027311.1 86561021 86561030 0.0105179047889461 NA NA 0.0363175193017993 NA NA NA 0.0201324887885839
NC_027312.1 101051655 101051737 0.0113900576334388 NA NA NA NA NA NA 0.00579961057431744
NC_027312.1 18633294 18633324 0.0402018657775756 NA NA 0.0456494608077429 NA NA NA NA
NC_027312.1 31755063 31755221 NA 0.00780217896565094 NA NA NA 0.0310249682539423 NA NA
NC_027312.1 35590451 35590532 0.00768251799102448 NA NA NA NA NA NA 0.00997219271478234
NC_027312.1 42681288 42681310 NA NA NA NA NA NA NA 0.0188705845502525
NC_027312.1 52703783 52703920 0.00704476689208011 NA NA NA NA NA NA NA
NC_027312.1 56198153 56198232 0.000315091000425149 0.0182652792487588 NA NA NA 0.00138932222155075 0.00637520009846426 0.000477750332525506
NC_027312.1 89150134 89150193 0.00266228460934048 NA NA NA NA 0.0316545308096505 NA 0.00915545120956496
NC_027312.1 92918089 92918141 0.0386143131336991 NA 0.0290677252574317 NA NA NA NA NA
NC_027313.1 13367226 13367261 NA NA NA NA NA NA NA 0.0238372350934037
NC_027313.1 49776152 49776179 0.00867647204593247 NA NA NA NA NA NA 0.0186659460156156
NC_027314.1 49297515 49297533 0.00195708956128227 NA 0.00283198410230479 NA NA 0.00673398863681629 NA NA
NC_027314.1 88512032 88512220 0.00836455947462478 NA NA NA NA 0.0409623666558346 NA 0.0311502979433297
NC_027315.1 53608055 53608099 0.00686676739237779 NA 0.0412387178005273 NA NA NA NA NA
NC_027315.1 81956093 81956115 NA 0.026081650102538 NA NA 0.0241430170074093 NA NA NA
NC_027316.1 16906518 16906569 0.00381784426817589 NA NA NA NA 0.0226140688662024 NA NA
NC_027317.1 10037398 10037453 0.00875123195916061 NA 0.0264290754487181 NA NA 0.0471515027450859 NA NA
NC_027317.1 9786340 9786358 0.0048211588803887 NA 0.0266894625046198 NA NA 0.0482383531327059 NA NA
NC_027318.1 6265651 6265679 0.00708017215678103 NA NA 0.0313615506334017 NA NA NA 0.0342905452298916
NC_027318.1 76263637 76263660 NA 0.0344308167245313 NA 0.043557709206858 NA NA NA NA
NC_027319.1 11655892 11656222 0.00809252451819842 NA 0.0177379668984645 0.0189459726115843 NA NA NA NA
NC_027319.1 30379301 30379335 0.00990287795763822 NA NA NA NA 0.0294553363522753 NA NA
NC_027319.1 55357940 55358035 NA NA 0.0296423362039698 NA 0.0239492921385025 NA NA NA
NC_027319.1 62410531 62410546 0.00674033481027736 NA 0.0394598042697669 NA NA 0.0119728314575036 NA NA
NC_027319.1 69080402 69080418 0.00194679413304555 NA NA 0.0270635882409654 NA NA NA 0.0182613623696629
NC_027321.1 29674072 29674388 0.00642788335000632 0.0399657220125722 NA NA NA 0.00890497742476959 NA NA
NC_027321.1 29877090 29877148 0.00631179350375588 NA NA NA NA 0.044911282198167 NA NA
